"condition","pa","na","lifeHappy","lifeSat","nowHappy","nowUnhappy","nowGood","nowBad","gender","age"
"positive",3,1,5,8,5,1,6,2,1,30
"positive",3,1.33333333333333,3,5,4,2,5,1,1,18
"positive",4,1.33333333333333,6,8,5,1,6,1,1,19
"negative",3,1.66666666666667,6,9,6,2,5,2,1,18
"negative",2.33333333333333,1.66666666666667,6,4,3,5,2,5,1,19
"negative",2.66666666666667,1.66666666666667,7,7,5,3,5,3,1,18
"positive",3.33333333333333,1,6,8,4,3,4,1,1,22
"negative",1.33333333333333,2.66666666666667,6,8,4,4,4,5,2,18
"negative",3.33333333333333,2.66666666666667,6,5,5,3,4,3,1,18
"negative",4,1.33333333333333,6,8,4,4,6,2,1,18
"positive",3.33333333333333,1.66666666666667,6,7,4,3,4,4,1,21
"negative",3,3,5,5,3,5,5,4,2,21
"positive",3.66666666666667,1,5,9,6,1,6,2,2,19
"negative",2,3.33333333333333,5,8,4,4,4,4,2,19
"negative",4.33333333333333,1.33333333333333,6,9,5,2,4,5,1,21
"negative",1,4.66666666666667,5,5,1,7,1,7,2,18
"negative",4,1,6,7,5,2,5,2,2,20
"negative",4,1.33333333333333,5,6,6,2,7,1,1,18
"negative",4.66666666666667,1,7,8,7,1,7,1,1,19
"positive",4,1,6,10,5,2,5,2,1,21
"negative",2.33333333333333,3.33333333333333,5,6,3,5,4,5,1,20
"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"negative",2.33333333333333,2,3,4,3,5,3,5,1,21
"negative",3,2.33333333333333,4,5,5,3,5,3,1,19
"positive",2,2.33333333333333,6,8,4,3,4,3,1,20
"negative",3.66666666666667,2.33333333333333,5,7,5,3,6,1,1,20
"positive",4,1,6,9,5,2,5,1,1,18
"positive",4,1.33333333333333,6,8,6,2,6,2,1,19
"positive",3,3,5,8,5,3,5,3,2,19
"positive",4.66666666666667,1,7,10,7,2,6,2,1,18
"positive",4,1,6,9,6,1,7,1,2,21
"positive",4,1.33333333333333,6,8,6,1,6,1,1,19
"positive",3.66666666666667,1.66666666666667,6,7,5,2,5,1,1,19
"positive",4,1.66666666666667,6,8,NA,2,6,2,1,18
"negative",3.66666666666667,1.33333333333333,5,7,5,2,5,4,1,20
"negative",3.33333333333333,2.66666666666667,5,6,5,4,4,3,1,21
"positive",4,1.33333333333333,7,10,7,1,7,1,1,18
"positive",2.33333333333333,2.33333333333333,5,6,5,3,3,3,1,19
"negative",3,1.33333333333333,6,7,5,2,5,2,2,21
"negative",3.66666666666667,1.33333333333333,6,8,6,2,6,2,1,20
"negative",1,4,5,8,1,6,1,7,1,18
"positive",3.66666666666667,1.33333333333333,6,7,7,2,7,2,2,20
"negative",1.33333333333333,2.66666666666667,6,7,4,5,4,5,1,21
"positive",4.33333333333333,1.66666666666667,6,7,5,1,4,3,1,18
"negative",4.33333333333333,1.33333333333333,6,9,6,1,7,1,1,18
"positive",4.66666666666667,2,7,9,7,1,7,1,1,18
"positive",3,1,6,6,5,1,5,1,1,21
"negative",3,3,6,6,3,5,5,2,1,18
"negative",3.66666666666667,1.66666666666667,6,7,4,1,5,1,1,18
"positive",3.66666666666667,1.33333333333333,6,8,5,2,5,2,1,23
"positive",1,1.66666666666667,6,9,4,3,3,5,2,20
"negative",4,1,6,9,6,2,6,2,1,20
"negative",3,2.33333333333333,6,8,4,4,5,3,1,20
"negative",3.66666666666667,1.66666666666667,6,9,5,3,5,2,1,19
"positive",4.66666666666667,1,6,8,6,2,6,2,2,18
"negative",1.33333333333333,2.33333333333333,6,8,3,5,4,5,2,18
"positive",4,1.33333333333333,7,8,5,2,6,2,1,21
"positive",4,1,5,7,4,2,6,2,1,18
"negative",4,1,7,10,5,2,6,1,1,19
"positive",3,1.66666666666667,6,8,6,1,6,1,2,18
"positive",2.5,3,6,7,5,4,4,5,1,18
"positive",4,1.33333333333333,5,9,4,2,4,2,2,22
"negative",2.33333333333333,2.66666666666667,5,7,5,3,4,3,1,20
"negative",2,2.33333333333333,4,4,3,4,3,3,1,19
"negative",3.33333333333333,1,6,9,5,1,5,1,1,19
"negative",2.33333333333333,3.33333333333333,6,7,5,4,3,5,1,18
"positive",5,1.66666666666667,7,9,7,1,7,1,2,21
"positive",5,1.33333333333333,6,9,7,2,6,2,1,19
"negative",3,1.33333333333333,7,10,6,2,6,2,2,18
"negative",3.33333333333333,1.33333333333333,6,8,5,3,5,3,1,19
"positive",2.33333333333333,2,4,7,3,5,3,5,1,18
"positive",4.33333333333333,1,5,7,6,1,6,1,1,20
"positive",3,2.66666666666667,5,5,4,5,5,4,1,20
"positive",3.33333333333333,1,5,8,5,2,6,2,1,18
"positive",3.66666666666667,1,6,4,5,2,6,2,2,18
"positive",4,1,6,8,6,1,6,1,2,20
"negative",2.66666666666667,2.66666666666667,4,5,4,4,4,4,1,21
"negative",4,2.33333333333333,6,7,5,2,6,2,1,18
"negative",4,2.66666666666667,6,8,5,3,5,2,1,18
"negative",1,3,5,8,4,5,1,5,1,18
"negative",2.66666666666667,3,5,6,3,4,4,3,1,18
"negative",2.66666666666667,2,6,8,5,3,4,4,1,18
