"condition","pa","na","lifeHappy","lifeSat","swls","gender","age"
"happy",4,1,6,9,6,2,18
"sad",4,2,6,8,5.8,1,18
"sad",3.33333333333333,2,5,8,5.4,1,18
"sad",2.33333333333333,4,2,4,2.2,1,20
"happy",5,1,5,7,5.2,2,18
"sad",2,1,4,5,3,1,18
"sad",3,2.33333333333333,5,7,4.6,1,18
"sad",4,2,5,7,5.8,1,19
"happy",4,2,7,8,6,1,19
"sad",1,3.33333333333333,6,8,5.2,1,21
"happy",5,1,7,10,5.8,1,18
"sad",4.33333333333333,1.33333333333333,7,10,6.4,1,19
"happy",1.66666666666667,1.66666666666667,4,3,2.2,2,21
"happy",4.66666666666667,1.33333333333333,5,7,5,1,19
"happy",3.33333333333333,2,6,7,5.6,1,18
"happy",4.33333333333333,1.66666666666667,5,7,4.8,1,18
"happy",4,2.33333333333333,5,7,4.6,2,19
"happy",3,2.33333333333333,4,7,3.4,1,18
"sad",1.66666666666667,1.33333333333333,3,3,3.2,2,19
"sad",4,1,7,10,6.6,1,18
"sad",3,2.66666666666667,7,9,6,1,21
"sad",2.66666666666667,3.66666666666667,6,9,6,2,20
"sad",2,3.66666666666667,6,5,6.2,1,18
"sad",4,1,7,9,4.8,1,18
"sad",2,4,3,3,2.6,1,19
"happy",1,5,2,1,3.4,1,18
"sad",3.33333333333333,1,5,5,4.2,1,19
"happy",4,1,5,5,2.8,2,20
"happy",3,1.33333333333333,4,5,4.8,1,20
"happy",3.33333333333333,1,6,8,6.2,1,19
"sad",4,1,5,7,3.8,1,20
"sad",4.33333333333333,2.33333333333333,6,9,6.6,1,18
"sad",4.33333333333333,1.66666666666667,6,7,6.6,1,21
"happy",3,1.66666666666667,6,8,5.4,1,18
"happy",3.66666666666667,1.66666666666667,5,7,5,1,18
"happy",1,4.33333333333333,2,0,1.6,2,19
"sad",3,2.66666666666667,6,7,5.4,2,19
"happy",4.33333333333333,1,7,9,6.2,1,20
"happy",4,1,4,4,3.4,1,18
"happy",2.33333333333333,3,5,7,5.8,1,19
"happy",4.33333333333333,1,6,8,6,1,19
"sad",4.33333333333333,1,6,9,5.8,1,19
"sad",4,1.66666666666667,6,9,5.8,2,18
"happy",4,1,5,8,5.8,1,18
"sad",4,1,7,10,5.8,1,20
"happy",3,2,5,7,4,1,18
"sad",2,1.33333333333333,5,6,4.2,2,19
"happy",3,3,5,4,4.2,1,18
"sad",2,3.33333333333333,2,7,5.8,1,18
"sad",1,4.33333333333333,3,2,3,2,22
"happy",4.33333333333333,1,7,10,6.2,2,20
"happy",3.33333333333333,1.66666666666667,6,8,5.6,1,20
"happy",4,2,6,8,4.8,1,18
"sad",2.33333333333333,1.66666666666667,5,7,5.4,1,21
"happy",3,3,3,5,3,1,18
"happy",4,1.33333333333333,6,8,5.4,1,19
"happy",5,1,7,9,6,2,21
"happy",3.33333333333333,1,6,8,6,1,18
"happy",4.33333333333333,3,6,8,5.4,1,22
"happy",5,1,5,6,5.6,1,18
"happy",4,1,6,8,4.6,1,18
"sad",4,1,6,8,6,1,18
"sad",5,1.33333333333333,7,10,7,1,18
"sad",4,2,6,7,4.6,1,19
"happy",2.66666666666667,1.66666666666667,6,8,4.4,1,18
"sad",3,1.33333333333333,5,7,3.6,2,19
"happy",4,2,6,9,5.8,1,18
"happy",5,1,7,10,6.6,1,20
"sad",3,4,5,8,4.8,2,20
"sad",3.66666666666667,1,6,8,4.2,1,19
"happy",3,1.33333333333333,6,8,5.6,1,18
"sad",2.66666666666667,2.66666666666667,6,8,5.6,1,20
"happy",2.66666666666667,1,6,7,4.8,1,19
"happy",3,1,5,6,3.6,1,18
"happy",3.66666666666667,1,7,8,5.4,1,22
"happy",3,1,5,7,4,1,20
"happy",2.33333333333333,1,4,6,4.2,1,21
"happy",3,3.66666666666667,6,5,6,1,20
"happy",3,3.33333333333333,5,7,3.6,1,19
"happy",3,1,5,8,5.4,1,18
"happy",5,1.66666666666667,6,8,6.2,1,18
"happy",2.33333333333333,2,3,4,2.8,1,18
"sad",2,3,5,6,4.4,1,22
"sad",4,1.33333333333333,5,8,6,1,21
"happy",4,2,5,4,3.8,1,18
"sad",2.33333333333333,2.33333333333333,5,6,5.4,1,19
"happy",3.66666666666667,3.33333333333333,7,7,4.6,1,20
"sad",2.66666666666667,1.33333333333333,5,7,5,1,20
"sad",3.33333333333333,1,6,9,6.2,1,18
"sad",2.33333333333333,1.66666666666667,6,8,5.2,1,18
"sad",3,1.66666666666667,3,3,4.4,1,18
"happy",3,1,5,6,3.4,1,25
"sad",5,1,7,10,7,2,19
"happy",4,1,6,8,5,1,18
"happy",2.66666666666667,1,6,8,5.8,1,18
"happy",4,1,7,10,5,1,18
"happy",4,1,5,5,3.6,1,20
"happy",4,1.33333333333333,5,7,4.6,1,18
"sad",3,1,6,8,6,1,23
"happy",2,1.33333333333333,5,5,2.8,1,22
"happy",4,1,6,8,6,2,19
"sad",4,1.33333333333333,7,10,6.2,1,21
"happy",3,2,5,6,3.6,1,18
"happy",4,2.33333333333333,5,7,5,1,18
"sad",3,2.33333333333333,6,10,5.4,1,18
"happy",5,1.66666666666667,6,8,5.4,1,24
"sad",4,1,6,9,6.6,1,18
"happy",5,1,6,8,4.8,1,21
"sad",4,1.33333333333333,5,9,5.8,2,20
"sad",2,1.66666666666667,5,6,5,2,21
"happy",4.66666666666667,1,6,3,3.4,1,18
"sad",4.66666666666667,1.66666666666667,7,8,6.2,1,18
"happy",3.66666666666667,1.66666666666667,6,7,5.8,1,18
"happy",5,1.33333333333333,5,7,4.6,1,20
"sad",3.33333333333333,1,6,10,6,1,19
"sad",2,2.66666666666667,4,6,4.2,1,18
"sad",2,2.66666666666667,6,7,5,1,21
"sad",2.66666666666667,2,5,9,5,2,19
"happy",4,1,6,9,5,1,19
"sad",4,1.66666666666667,7,8,6,2,19
"happy",1.66666666666667,1,6,9,5.8,1,21
"sad",2,2.33333333333333,5,7,4.2,1,22
"sad",3.66666666666667,2.33333333333333,6,4,5.8,1,19
"sad",3.33333333333333,1,6,7,6.2,1,19
"sad",3.33333333333333,1,6,7,5,2,19
"sad",3,1,6,8,6,1,19
"sad",2,2,6,7,5.2,1,19
"sad",4,2,5,7,4,1,18
"happy",3,1.66666666666667,5,5,5.2,1,18
"happy",3.33333333333333,1.33333333333333,7,8,6,1,18
"happy",4,1.33333333333333,6,8,5.2,2,20
"sad",4,1.66666666666667,5,7,5,1,19
"sad",4.66666666666667,1.66666666666667,6,9,5.8,1,18
"sad",1,2.66666666666667,5,5,2.8,1,18
"sad",3,2.33333333333333,5,7,3.8,1,18
"sad",1.66666666666667,1.33333333333333,5,6,4.2,2,24
"sad",4,2,7,9,5.8,2,20
"sad",3.66666666666667,1.66666666666667,5,8,4.6,1,21
"happy",3,1,6,8,4.8,2,19
"happy",3.33333333333333,1,6,8,5.2,1,21
"happy",2.66666666666667,1,7,8,6.8,1,18
"sad",2,2.33333333333333,5,6,4.2,1,19
"sad",2,2.33333333333333,5,5,5.2,1,19
"happy",3.66666666666667,2,6,6,4.6,1,19
"sad",3,1,5,6,4.2,2,24
"sad",4,1,6,7,5.2,1,23
"sad",2.66666666666667,1.33333333333333,5,5,4.6,1,20
"sad",3.66666666666667,2.33333333333333,6,10,5.6,2,18
"happy",4,1.33333333333333,NA,8,6,1,18
"happy",2.66666666666667,1.33333333333333,6,8,5.8,1,20
"happy",4.33333333333333,1.33333333333333,7,9,6,1,18
"happy",2,2,6,9,4.4,1,18
"happy",2.66666666666667,1.66666666666667,5,4,2.8,2,19
"happy",4,1,6,8,6,1,19
"sad",2.66666666666667,3.33333333333333,5,6,3.4,1,20
"sad",4,1,6,9,5.6,1,19
"sad",3,1.66666666666667,6,9,5.6,2,19
"happy",3,1,6,7,4.4,1,19
"sad",1.66666666666667,3.33333333333333,5,9,6.4,1,21
"happy",4,1.33333333333333,5,7,4.4,1,21
"sad",3,1.66666666666667,6,6,5.6,1,19
"sad",2.66666666666667,1.33333333333333,6,8,6.6,1,18
"happy",4,1,6,7,6.4,1,18
"happy",2,3,4,4,3,1,18
"sad",3.33333333333333,1,6,8,6,1,18
"happy",2.66666666666667,2.33333333333333,3,1,2.4,1,18
"sad",3.66666666666667,1.33333333333333,5,6,4.2,1,21
"sad",4,1,6,8,5.6,2,19
"happy",4,1,6,8,5.6,1,19
"sad",2.66666666666667,4.33333333333333,5,7,5.6,1,21
"sad",2.66666666666667,1.33333333333333,5,7,3.8,1,19
"sad",3,2.33333333333333,5,7,5.2,1,18
"happy",2.33333333333333,1,6,3,4,2,21
"sad",2.66666666666667,4,6,7,5.6,1,18
"sad",3,1,6,9,5,1,18
"happy",3.33333333333333,1,5,6,4.8,1,19
"happy",3.33333333333333,1.66666666666667,5,7,4.8,1,19
"sad",1,3,7,10,5,1,19
"happy",3,2.66666666666667,6,8,4.8,1,21
"sad",4,1.33333333333333,6,7,5.8,1,19
"happy",5,2,7,10,6,2,18
"sad",2.66666666666667,3,6,7,5.8,1,18
"sad",3,1.66666666666667,5,7,6,1,19
"happy",2.66666666666667,1.33333333333333,7,8,6.2,1,20
"happy",5,1.33333333333333,6,6,4.6,2,20
"sad",3,2,5,7,5,1,21
"sad",1,2,3,5,2.6,1,22
"happy",5,1.33333333333333,6,8,6.2,1,21
"sad",1,2,2,2,1,1,19
"happy",5,1,7,10,6,1,19
"sad",3,2.33333333333333,4,5,3.8,2,19
"happy",3.33333333333333,3.33333333333333,3,4,2.6,1,20
"sad",3,3.33333333333333,5,6,5.6,1,19
"sad",3,1.66666666666667,5,7,3.6,1,19
"sad",4.33333333333333,1,5,7,4,2,22
"sad",2,2.33333333333333,4,5,5,1,21
"happy",4,2,6,7,5.2,1,19
"sad",4.33333333333333,1.66666666666667,7,9,6.6,1,18
"sad",3,2,5,5,4.8,1,18
"sad",2.66666666666667,1.66666666666667,5,5,4.6,2,20
"happy",5,1,6,8,6.2,1,19
"happy",3.33333333333333,1.33333333333333,6,8,6,1,19
"happy",5,1.33333333333333,7,10,7,1,18
"sad",2.66666666666667,2.33333333333333,4,6,4,1,18
"sad",4.33333333333333,1,7,8,4.4,1,21
"sad",4,1.33333333333333,6,9,5.8,1,18
"happy",2.66666666666667,1.33333333333333,5,6,4.6,1,20
"sad",3,3,6,8,6,1,18
"happy",3.33333333333333,3,5,4,5.2,1,20
"happy",3.66666666666667,1,6,8,3.4,1,19
"sad",3.66666666666667,1.33333333333333,5,7,3.6,1,18
"sad",1.66666666666667,3,5,7,4.8,1,21
"happy",1,4.66666666666667,1,1,2.4,2,20
"sad",1,4,6,8,6,1,18
"sad",2.66666666666667,2,5,7,5.6,1,19
"happy",4,1,6,7,NA,1,18
"happy",3.66666666666667,1.33333333333333,5,7,5.2,1,18
"sad",4,3,6,9,4,1,23
"sad",3,3.66666666666667,6,9,5.2,1,19
"sad",2,2,6,7,5.6,1,20
"sad",4.33333333333333,1,6,9,5.6,1,22
"happy",3,1,6,8,5.4,1,18
"sad",3.66666666666667,1,6,8,5,1,21
"sad",2.66666666666667,1.33333333333333,5,6,3.6,1,21
"happy",5,1.33333333333333,6,8,6,1,18
"happy",3,1,5,7,5.4,1,19
"sad",3,1,5,7,3.2,2,18
"sad",2,2.33333333333333,5,7,4.4,1,21
"sad",1,4,2,1,3.2,1,19
"sad",2.33333333333333,3,2,5,4,1,18
"sad",2,3.66666666666667,5,8,6,1,19
"happy",2.33333333333333,1,6,8,5.8,1,18
"sad",2.66666666666667,3,6,8,5.2,1,19
"sad",2.33333333333333,3,5,7,4.2,2,18
"sad",3,1.66666666666667,5,7,5,1,18
"happy",3.66666666666667,2,6,8,5.6,2,19
"sad",5,1.66666666666667,6,9,4.6,1,18
"happy",5,1,7,10,7,1,18
"happy",3,1,4,4,3.8,1,18
"sad",3.66666666666667,3,6,7,4.8,2,22
"happy",3.33333333333333,1.66666666666667,5,7,5.2,1,19
"sad",5,1,5,8,5.8,1,18
"happy",3.33333333333333,1.66666666666667,5,6,6,1,18
"happy",4,1.33333333333333,6,8,6,1,18
"happy",4.33333333333333,1,6,8,6,2,19
"happy",4,1.66666666666667,5,7,4.4,1,20
"sad",3.33333333333333,1.33333333333333,5,7,4,2,21
"happy",4,1,6,8,5.2,1,20
"happy",5,1.33333333333333,6,8,3.6,1,19
"sad",3,2.33333333333333,6,8,5.2,2,19
"happy",2,3,3,4,2.4,1,18
"sad",2,2.33333333333333,5,8,5.2,1,21
"happy",4.33333333333333,1,6,8,6,1,19
"sad",4.66666666666667,1,6,9,5.8,2,20
"happy",5,1,7,9,6,1,21
"sad",2.66666666666667,2,5,7,4.6,1,18
"happy",2.33333333333333,1,6,7,3.2,1,20
"happy",4,2,5,8,5.2,3,19
"happy",4,1.66666666666667,6,6,6,2,18
"happy",2.66666666666667,1.33333333333333,5,6,6,1,20
"sad",3.66666666666667,3.66666666666667,5,6,3.2,1,18
"sad",2,3.66666666666667,4,5,3.4,1,19.9
"sad",4,1.33333333333333,6,8,5.8,1,21
"sad",3,2.66666666666667,2,3,3.2,1,18
"happy",3,3,5,4,2,1,21
"happy",4,1,6,8,5.2,1,18
"sad",4,3,5,7,3.8,1,21
"sad",1.33333333333333,1.33333333333333,5,8,5,2,19
"happy",4.33333333333333,1,7,10,6.6,1,18
"sad",5,1.33333333333333,7,10,7,1,18
"sad",4,1,6,7,5,2,21
"happy",3.33333333333333,2,5,6,4.6,1,18
"sad",1,4,3,4,1.4,1,20
"sad",3,1,5,7,4.6,1,20
"sad",2,3.33333333333333,5,7,5.8,1,20
"sad",4,1,6,8,6,1,19
